"SampleID","Sample","Analyte","spiked_concentration","Estimated_C0","Estimated_C0_error","total_concentration","intensity","predicted_baseline","predicted_proposed","error_baseline","error_proposed","abs_error_baseline","abs_error_proposed"
"250320_225725.mea","s2","anisole",7.5,0,0,7.5,889.390092090408,5.64654766705884,10.0506528241924,-1.85345233294116,2.55065282419238,1.85345233294116,2.55065282419238
"250328_010218.mea","s2","anisole",7.5,0,0,7.5,884.929394505026,5.6100084275336,9.98561428514478,-1.8899915724664,2.48561428514478,1.8899915724664,2.48561428514478
"250331_175441.mea","s2","anisole",7.5,0,0,7.5,896.838167258491,5.70824476874313,10.1604714577807,-1.79175523125687,2.66047145778071,1.79175523125687,2.66047145778071
"250320_204727.mea","s2","anisole",10,0,0,10,1094.8212548943,7.49222305807626,13.3358889853057,-2.50777694192374,3.33588898530569,2.50777694192374,3.33588898530569
"250328_073203.mea","s2","anisole",10,0,0,10,1079.45043910682,7.34195188145831,13.0684116673542,-2.65804811854169,3.06841166735424,2.65804811854169,3.06841166735424
"250331_164943.mea","s2","anisole",10,0,0,10,1100.12839638445,7.54477377271081,13.4294273771865,-2.45522622728919,3.4294273771865,2.45522622728919,3.4294273771865
"250321_031725.mea","s2","anisole",15,0,0,15,1325.89300988455,10.0869842124266,17.9544710042298,-4.91301578757342,2.95447100422978,4.91301578757342,2.95447100422978
"250328_041710.mea","s2","anisole",15,0,0,15,1331.16834883208,10.1555198227718,18.0764619385653,-4.84448017722817,3.07646193856525,4.84448017722817,3.07646193856525
"250331_133450.mea","s2","anisole",15,0,0,15,1361.80328145809,10.5633953834982,18.8024658436148,-4.43660461650182,3.80246584361483,4.43660461650182,3.80246584361483
"250321_010724.mea","s2","anisole",20,0,0,20,1540.81054883457,13.4113335364346,23.8716938618112,-6.58866646356537,3.87169386181119,6.58866646356537,3.87169386181119
"250328_031213.mea","s2","anisole",20,0,0,20,1497.10174869178,12.6263043201476,22.4743699437333,-7.37369567985237,2.47436994373326,7.37369567985237,2.47436994373326
"250331_185937.mea","s2","anisole",20,0,0,20,1540.41655103823,13.4039742533889,23.8585946012915,-6.5960257466111,3.85859460129151,6.5960257466111,3.85859460129151
"250320_215227.mea","s2","anisole",30,0,0,30,1772.35965275879,19.3438745779307,34.4314046601808,-10.6561254220693,4.43140466018084,10.6561254220693,4.43140466018084
"250328_052208.mea","s2","anisole",30,0,0,30,1766.43222021504,19.1404420535665,34.069302045257,-10.8595579464335,4.06930204525699,10.8595579464335,4.06930204525699
"250331_200434.mea","s2","anisole",30,0,0,30,1809.31804810379,20.6766044849388,36.803616212011,-9.32339551506116,6.803616212011,9.32339551506116,6.803616212011
"250325_050742.mea","s3","anisole",0,0,0,0,27.0117266888764,0.137809373087035,0.245295753527011,0.137809373087035,0.245295753527011,0.137809373087035,0.245295753527011
"250401_134817.mea","s3","anisole",0,0,0,0,29.8295794763816,0.152185593110672,0.270884910814166,0.152185593110672,0.270884910814166,0.152185593110672,0.270884910814166
"250402_211111.mea","s3","anisole",0,0,0,0,34.0263322541054,0.173850953374045,0.309448476935912,0.173850953374045,0.309448476935912,0.173850953374045,0.309448476935912
"250325_004742.mea","s3","anisole",5,0,0,5,597.621179925259,3.47693670128958,6.1888229298446,-1.52306329871042,1.1888229298446,1.52306329871042,1.1888229298446
"250401_145315.mea","s3","anisole",5,0,0,5,649.222440560247,3.83104839054828,6.81912906725499,-1.16895160945172,1.81912906725499,1.16895160945172,1.81912906725499
"250403_102929.mea","s3","anisole",5,0,0,5,590.191986705075,3.42694576936343,6.09984085960039,-1.57305423063657,1.09984085960039,1.57305423063657,1.09984085960039
"250324_234241.mea","s3","anisole",7.5,0,0,7.5,1027.32173756333,6.84830361439333,12.1897354138128,-0.65169638560667,4.68973541381282,0.65169638560667,4.68973541381282
"250401_170310.mea","s3","anisole",7.5,0,0,7.5,854.638418355369,5.36442160027464,9.5484785192724,-2.13557839972536,2.0484785192724,2.13557839972536,2.0484785192724
"250403_123923.mea","s3","anisole",7.5,0,0,7.5,787.427998166795,4.83877800397116,8.61285172442093,-2.66122199602884,1.11285172442093,2.66122199602884,1.11285172442093
"250325_061243.mea","s3","anisole",10,0,0,10,815.302030318585,5.05363963772468,8.995297745145,-4.94636036227532,-1.004702254855,4.94636036227532,1.004702254855
"250401_155811.mea","s3","anisole",10,0,0,10,1002.27650162234,6.61967198068474,11.7827792858342,-3.38032801931526,1.78277928583421,3.38032801931526,1.78277928583421
"250403_113426.mea","s3","anisole",10,0,0,10,973.219300396846,6.36035251103778,11.3211999078401,-3.63964748896222,1.32119990784006,3.63964748896222,1.32119990784006
"250325_025741.mea","s3","anisole",15,0,0,15,1177.68447976896,8.34433860279908,14.852624167773,-6.65566139720092,-0.147375832227041,6.65566139720092,0.147375832227041
"250401_124320.mea","s3","anisole",15,0,0,15,1266.49130209251,9.34946378859681,16.6417110369478,-5.65053621140319,1.64171103694782,5.65053621140319,1.64171103694782
"250402_200614.mea","s3","anisole",15,0,0,15,1262.82863451521,9.3056300121063,16.5636884830873,-5.6943699878937,1.56368848308725,5.6943699878937,1.56368848308725
"250325_015240.mea","s3","anisole",20,0,0,20,1416.40337231912,11.3393443841439,20.1836273027249,-8.66065561585609,0.183627302724855,8.66065561585609,0.183627302724855
"250401_180808.mea","s3","anisole",20,0,0,20,1437.44868709423,11.6573593752714,20.7496826089357,-8.34264062472857,0.749682608935725,8.34264062472857,0.749682608935725
"250403_134420.mea","s3","anisole",20,0,0,20,1391.15966599291,10.971963015127,19.5297016101098,-9.02803698487301,-0.47029838989025,9.02803698487301,0.47029838989025
"250325_040242.mea","s3","anisole",30,0,0,30,1619.47144672218,15.0328311324082,26.7579015684189,-14.9671688675918,-3.24209843158114,14.9671688675918,3.24209843158114
"250401_191305.mea","s3","anisole",30,0,0,30,1707.79997661963,17.2939551182823,30.7826213643845,-12.7060448817177,0.782621364384454,12.7060448817177,0.782621364384454
"250403_144916.mea","s3","anisole",30,0,0,30,1643.97788869401,15.6060776385668,27.7782598396671,-14.3939223614332,-2.22174016033288,14.3939223614332,2.22174016033288
"250325_182659.mea","s4","anisole",0,0,0,0,33.2058731937946,0.169614927709338,0.301908502810002,0.169614927709338,0.301908502810002,0.169614927709338,0.301908502810002
"250331_221432.mea","s4","anisole",0,0,0,0,34.3137062892685,0.175334663954144,0.312089428684031,0.175334663954144,0.312089428684031,0.175334663954144,0.312089428684031
"250402_133628.mea","s4","anisole",0,0,0,0,32.563784540934,0.166299827487879,0.296007743024042,0.166299827487879,0.296007743024042,0.166299827487879,0.296007743024042
"250325_140659.mea","s4","anisole",5,0,0,5,637.152259893159,3.74733895848955,6.67012927316119,-1.25266104151045,1.67012927316119,1.25266104151045,1.67012927316119
"250331_231931.mea","s4","anisole",5,0,0,5,644.244324845055,3.79635632940533,6.75737843963918,-1.20364367059467,1.75737843963918,1.20364367059467,1.75737843963918
"250402_144124.mea","s4","anisole",5,0,0,5,641.161177827723,3.77504691360591,6.71944844192823,-1.22495308639409,1.71944844192823,1.22495308639409,1.71944844192823
"250325_130159.mea","s4","anisole",7.5,0,0,7.5,717.692978997685,4.31894417417867,7.6875661060962,-3.18105582582133,0.187566106096201,3.18105582582133,0.187566106096201
"250401_012927.mea","s4","anisole",7.5,0,0,7.5,811.949484544131,5.02742873690312,8.94864327946083,-2.47257126309688,1.44864327946083,2.47257126309688,1.44864327946083
"250402_165120.mea","s4","anisole",7.5,0,0,7.5,829.41399406823,5.16405608224991,9.191835065901,-2.33594391775009,1.691835065901,2.33594391775009,1.691835065901
"250325_193200.mea","s4","anisole",10,0,0,10,1008.76585712598,6.67836285938187,11.8872469500625,-3.32163714061813,1.88724695006255,3.32163714061813,1.88724695006255
"250401_002429.mea","s4","anisole",10,0,0,10,1012.77478056234,6.71476230018598,11.9520366523883,-3.28523769981402,1.95203665238828,3.28523769981402,1.95203665238828
"250402_154623.mea","s4","anisole",10,0,0,10,1012.52142792594,6.71243651864827,11.9478968444634,-3.28756348135173,1.94789684446338,3.28756348135173,1.94789684446338
"250325_161659.mea","s4","anisole",15,0,0,15,1237.13543830102,9.00517327592411,16.0288862424767,-5.99482672407589,1.02888624247672,5.99482672407589,1.02888624247672
"250331_210933.mea","s4","anisole",15,0,0,15,1263.22800421425,9.31040955645624,16.5721959010268,-5.68959044354376,1.57219590102677,5.68959044354376,1.57219590102677
"250402_123133.mea","s4","anisole",15,0,0,15,1230.72958095177,8.93190576457587,15.8984726936547,-6.06809423542413,0.898472693654726,6.06809423542413,0.898472693654726
"250325_151158.mea","s4","anisole",20,0,0,20,1371.8132479262,10.70067778278,19.0468236026227,-9.29932221722002,-0.953176397377312,9.29932221722002,0.953176397377312
"250401_023423.mea","s4","anisole",20,0,0,20,1432.09792703411,11.5751481613913,20.6033495895963,-8.4248518386087,0.60334958959632,8.4248518386087,0.60334958959632
"250402_175616.mea","s4","anisole",20,0,0,20,1442.44510035415,11.7342347505469,20.8865180264653,-8.26576524945314,0.886518026465343,8.26576524945314,0.886518026465343
"250325_172157.mea","s4","anisole",30,0,0,30,1666.8000844077,16.1749136968904,28.7907676715671,-13.8250863031096,-1.20923232843292,13.8250863031096,1.20923232843292
"250401_033921.mea","s4","anisole",30,0,0,30,1633.68538168181,15.360694899711,27.3414873438506,-14.639305100289,-2.65851265614939,14.639305100289,2.65851265614939
